City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
5,Praya,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
7,Ugoofaaru,MV,82.81,overcast clouds,5.6667,73.0,Ungoofaaru Inn
11,Samana,DO,82.62,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
13,Tarakan,ID,82.72,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
14,Ribeira Grande,PT,70.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
16,Omboue,GA,78.57,broken clouds,-1.5746,9.2618,Hotel Olako
19,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
21,The Valley,AI,85.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
22,Atuona,PF,77.61,light rain,-9.8,-139.0333,Villa Enata
27,Rong Kwang,TH,79.21,scattered clouds,18.339,100.3174,Rong Kwang Hotel
30,Kapaa,US,73.11,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Hirara,JP,82.17,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
32,Hilo,US,72.25,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
33,Sabang,ID,83.46,light rain,5.8933,95.3214,Hotel Citra
34,Mundo Nuevo,MX,81.34,overcast clouds,18.7,-95.5,
37,Kuching,MY,77.22,light rain,1.55,110.3333,Hilton Kuching
38,Butaritari,KI,82.69,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
39,Hasaki,JP,72.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
40,Morgan City,US,88.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
44,Tukrah,LY,80.69,clear sky,32.5341,20.5791,Lagrota restaurant
45,Katsuura,JP,72.86,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
50,Santa Cruz De La Palma,ES,76.14,broken clouds,28.6835,-17.7642,H10 Taburiente Playa
55,Trairi,BR,83.46,overcast clouds,-3.2778,-39.2689,janelas do mar
57,Kiunga,PG,71.91,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
62,Ziarat,PK,72.81,clear sky,30.3823,67.7282,Pakiza Guest House ziarat
64,Hithadhoo,MV,83.89,broken clouds,-0.6,73.0833,Scoop Guest House
65,Strezhevoy,RU,74.25,broken clouds,60.7333,77.5889,Sibiryachka
69,Muisne,EC,74.52,light rain,0.6,-80.0333,Quinta Samay
71,Mahebourg,MU,70.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
73,Naliya,IN,86.09,clear sky,23.2667,68.8333,jadeja jayendrasinh
74,Roebourne,AU,73.81,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
78,Hamilton,US,72.84,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
81,Puerto Ayora,EC,73.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
85,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
87,Mangotsfield,GB,71.1,broken clouds,51.4878,-2.504,The Langley Arms
88,Acarau,BR,83.98,scattered clouds,-2.8856,-40.12,castelo pizzaria
92,Sampit,ID,74.93,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
93,Panalingaan,PH,78.85,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
94,Karratha,AU,74.05,clear sky,-20.7377,116.8463,ibis Styles Karratha
96,Naze,JP,75.45,overcast clouds,28.3667,129.4833,Shishime Hotel
99,Marsh Harbour,BS,82.47,clear sky,26.5412,-77.0636,Abaco Beach Resort
101,Muscle Shoals,US,78.46,clear sky,34.7448,-87.6675,Microtel Inn & Suites by Wyndham Tuscumbia/Muscle Shoals
104,Sawang Daen Din,TH,84.18,overcast clouds,17.4753,103.4575,บ้านเจเน็ต คอมพิวเตอร์
105,Amapa,BR,79.63,broken clouds,1.0,-52.0,
108,Kimbe,PG,74.93,light rain,-5.5502,150.1429,Kimbe Bay Hotel
109,Kualakapuas,ID,75.15,moderate rain,-3.0091,114.3876,Guest House Izonk
110,Asau,RO,81.52,few clouds,46.4333,26.4,Casa Mika Ciobanus
114,Kalmunai,LK,84.13,overcast clouds,7.4167,81.8167,VS Villa
115,Ponta Do Sol,PT,74.03,overcast clouds,32.6667,-17.1,Hotel do Campo
117,Riohacha,CO,84.76,broken clouds,11.5444,-72.9072,Hotel Taroa
120,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
121,Korla,CN,78.73,overcast clouds,41.7597,86.1469,Gulisitan Hotel
124,Ginir,ET,71.37,broken clouds,7.1333,40.7,Sura Dare Village
128,Agirish,RU,71.55,broken clouds,61.9247,63.0231,
137,Boyolangu,ID,76.17,light rain,-8.1181,111.8935,Yos ega cv
138,Kieta,PG,77.99,light rain,-6.2167,155.6333,Uruna Bay Retreat
141,Kavaratti,IN,82.33,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
143,Porto Velho,BR,75.25,broken clouds,-8.7619,-63.9039,Ecos Hotel Conforto
146,Sibu,MY,74.44,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
153,Waingapu,ID,76.35,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
155,Koulamoutou,GA,82.78,overcast clouds,-1.1303,12.4736,Motel Bouenguidi
156,Bengkulu,ID,77.11,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
157,Sao Filipe,CV,73.13,moderate rain,14.8961,-24.4956,Hotel Xaguate
158,Naifaru,MV,82.63,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
163,Cabra,ES,84.85,scattered clouds,37.4725,-4.4421,MS Fuente Las Piedras
164,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
165,San Patricio,US,85.87,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
167,Bathsheba,BB,86.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
168,Bethel,US,70.52,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
172,Kavieng,PG,81.03,broken clouds,-2.5744,150.7967,Nusa Island Retreat
173,Tazovskiy,RU,71.24,overcast clouds,67.4667,78.7,TazHostel
174,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
175,Saint-Pierre,RE,71.91,light rain,-21.3393,55.4781,Alize Plage
177,Arrecife,ES,78.78,broken clouds,28.963,-13.5477,Hotel Lancelot
180,Novyy Urengoy,RU,79.65,overcast clouds,66.0833,76.6333,Apartments Moy Dom na Gubkina
183,Myitkyina,MM,75.13,few clouds,25.3833,97.4,Shwe Phyu Hotel
184,Pokhara,NP,71.56,broken clouds,28.2333,83.9833,OYO 170 Hotel View Point
188,Bandarbeyla,SO,81.34,broken clouds,9.4942,50.8122,JABIR HOTEL
193,Nouakchott,MR,85.93,overcast clouds,18.0858,-15.9785,HOTEL IMAN
194,Lorengau,PG,78.82,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
195,Poum,NC,72.3,clear sky,-20.2333,164.0167,
196,Warangal,IN,87.96,light rain,18.0,79.5833,Capital O 66968 Haveli The Landmark
198,Loanda,AO,82.4,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
199,Balikpapan,ID,81.59,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
202,Mayumba,GA,75.33,scattered clouds,-3.432,10.6554,LIKWALE LODGE
203,Rock Sound,BS,81.64,overcast clouds,24.9,-76.2,Pink Corral Bay Property
204,Isangel,VU,70.11,overcast clouds,-19.55,169.2667,Tanna Lodge
206,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
208,Mariara,VE,78.13,overcast clouds,10.2964,-67.7181,El Carmen 1
211,Ambanja,MG,75.72,moderate rain,-13.6833,48.45,Hotel Salama and Fast Food
213,Rundu,,83.32,clear sky,-17.9333,19.7667,Millennia Estate
215,Bonthe,SL,85.05,broken clouds,7.5264,-12.505,Bonthe Holiday Village
219,Inyonga,TZ,82.76,scattered clouds,-6.7167,32.0667,Eden Rock Lodge
222,Hobyo,SO,81.14,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
226,Cileungsi,ID,78.04,moderate rain,-6.3947,106.9592,villa berbagi indah
230,Kaoma,ZM,81.97,clear sky,-14.7833,24.8,KAOMA AIRPORT
231,Avera,US,79.38,overcast clouds,33.194,-82.5271,
233,Sri Aman,MY,75.65,moderate rain,1.2376,111.4621,Seri Simanggang Hotel
234,Arraial Do Cabo,BR,75.06,few clouds,-22.9661,-42.0278,Pousada Porto Praia
235,Bubaque,GW,79.66,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
238,Luena,AO,82.24,clear sky,-11.7833,19.9167,Hotel Kandamba
243,Georgetown,MY,82.33,thunderstorm,5.4112,100.3354,Cititel Penang
244,Yar-Sale,RU,70.59,overcast clouds,66.8333,70.8333,Yalemd
